[run number],withNodes,sensor-angle,rotation-angle,suck-pheromone-from-border,[step],calcoverlap
1,true,20,20,true,1000,68.01405675
2,true,20,20,true,1000,116.7296737
3,true,20,20,true,1000,101.2790613
4,true,20,20,true,1000,75.84869975
5,true,20,20,true,1000,61.87028374
6,true,20,20,true,1000,86.05869183
7,true,20,20,true,1000,84.61416074
8,true,20,20,true,1000,117.0021312
9,true,20,20,true,1000,68.7462313
10,true,20,20,true,1000,91.00865877
11,true,20,20,false,1000,71.0930077
12,true,20,20,false,1000,115.8900239
13,true,20,20,false,1000,79.90617104
14,true,20,20,false,1000,98.06532343
15,true,20,20,false,1000,94.79668859
16,true,20,20,false,1000,57.8241449
17,true,20,20,false,1000,120.2667289
18,true,20,20,false,1000,83.41961175
19,true,20,20,false,1000,107.9340502
20,true,20,20,false,1000,84.26404246
21,true,20,45,true,1000,86.37710387
22,true,20,45,true,1000,93.41189236
23,true,20,45,true,1000,151.908034
24,true,20,45,true,1000,123.6325811
25,true,20,45,true,1000,111.2504544
26,true,20,45,true,1000,105.5775476
27,true,20,45,true,1000,104.7923507
28,true,20,45,true,1000,116.2778902
29,true,20,45,true,1000,139.1298833
30,true,20,45,true,1000,101.3060848
31,true,20,45,false,1000,155.0693721
32,true,20,45,false,1000,157.4501947
33,true,20,45,false,1000,117.6561187
34,true,20,45,false,1000,173.4380253
35,true,20,45,false,1000,150.2350574
36,true,20,45,false,1000,207.4828965
37,true,20,45,false,1000,151.9800713
38,true,20,45,false,1000,172.5990846
39,true,20,45,false,1000,188.6645385
40,true,20,45,false,1000,187.2478418
41,true,20,60,true,1000,87.70442589
42,true,20,60,true,1000,102.4494032
43,true,20,60,true,1000,91.49224531
44,true,20,60,true,1000,71.14668928
45,true,20,60,true,1000,102.9431785
46,true,20,60,true,1000,104.8775183
47,true,20,60,true,1000,106.2675272
48,true,20,60,true,1000,116.0589656
49,true,20,60,true,1000,100.4992039
50,true,20,60,true,1000,73.10958713
51,true,20,60,false,1000,154.3505801
52,true,20,60,false,1000,149.1215938
53,true,20,60,false,1000,130.9540809
54,true,20,60,false,1000,116.7026067
55,true,20,60,false,1000,160.4064012
56,true,20,60,false,1000,75.04479641
57,true,20,60,false,1000,187.2170099
58,true,20,60,false,1000,154.4369985
59,true,20,60,false,1000,151.4488168
60,true,20,60,false,1000,150.2705127
61,true,45,20,true,1000,65.68033092
62,true,45,20,true,1000,74.54523596
63,true,45,20,true,1000,73.37004924
64,true,45,20,true,1000,87.29876414
65,true,45,20,true,1000,74.47724626
66,true,45,20,true,1000,71.23545824
67,true,45,20,true,1000,66.93593516
68,true,45,20,true,1000,68.85456793
69,true,45,20,true,1000,92.89277819
70,true,45,20,true,1000,91.59201167
71,true,45,20,false,1000,83.5512443
72,true,45,20,false,1000,64.25279885
73,true,45,20,false,1000,87.11920008
74,true,45,20,false,1000,78.55059314
75,true,45,20,false,1000,81.09985589
76,true,45,20,false,1000,76.39706875
77,true,45,20,false,1000,89.60667912
78,true,45,20,false,1000,104.9166306
79,true,45,20,false,1000,81.35603846
80,true,45,20,false,1000,77.2786536
81,true,45,45,true,1000,103.0324276
82,true,45,45,true,1000,175.9077139
83,true,45,45,true,1000,168.9380236
84,true,45,45,true,1000,175.9741167
85,true,45,45,true,1000,168.8838586
86,true,45,45,true,1000,107.987276
87,true,45,45,true,1000,181.9149293
88,true,45,45,true,1000,224.1341561
89,true,45,45,true,1000,138.4557721
90,true,45,45,true,1000,178.7717946
91,true,45,45,false,1000,156.7661354
92,true,45,45,false,1000,181.9503958
93,true,45,45,false,1000,119.6892578
94,true,45,45,false,1000,50.4701033
95,true,45,45,false,1000,145.4900195
96,true,45,45,false,1000,153.319473
97,true,45,45,false,1000,182.2079176
98,true,45,45,false,1000,124.8278342
99,true,45,45,false,1000,186.2444264
100,true,45,45,false,1000,123.1880782
101,true,45,60,true,1000,142.9246621
102,true,45,60,true,1000,142.4475651
103,true,45,60,true,1000,92.46341403
104,true,45,60,true,1000,160.2124755
105,true,45,60,true,1000,156.6106961
106,true,45,60,true,1000,150.9963506
107,true,45,60,true,1000,190.6504704
108,true,45,60,true,1000,239.4505262
109,true,45,60,true,1000,205.4020645
110,true,45,60,true,1000,185.1067998
111,true,45,60,false,1000,164.704988
112,true,45,60,false,1000,128.9910014
